"","VSA_b","vowel_ED_b","Hull_b","Hull_bVSD_25","Hull_bVSD_50","Hull_bVSD_75","autoVSA","VAS","transAcc"
"VSA_b",1,0.727088087270585,0.554229373228365,0.517580738321283,0.408743183808673,0.282404208448891,0.334064883150547,0.48585618574625,0.508533973897727
"vowel_ED_b",0.727088087270585,1,0.486483789335911,0.398874247939813,0.252155493689323,0.127688942373282,0.409137937110192,0.401654462945511,0.420557295768388
"Hull_b",0.554229373228365,0.486483789335911,1,0.838625022477219,0.615338899986912,0.45558160830364,0.874289337858303,0.254480637494201,0.289215192659119
"Hull_bVSD_25",0.517580738321283,0.398874247939813,0.838625022477219,1,0.823688657350519,0.676283656941065,0.741253762670749,0.150720531603325,0.180774319140868
"Hull_bVSD_50",0.408743183808673,0.252155493689323,0.615338899986912,0.823688657350519,1,0.894677558792101,0.47189177772188,0.0920098068613691,0.101318162135752
"Hull_bVSD_75",0.282404208448891,0.127688942373282,0.45558160830364,0.676283656941065,0.894677558792101,1,0.313961266642062,0.0916509985450747,0.0854395607043072
"autoVSA",0.334064883150547,0.409137937110192,0.874289337858303,0.741253762670749,0.47189177772188,0.313961266642062,1,0.0428475313906195,0.0805724766040653
"VAS",0.48585618574625,0.401654462945511,0.254480637494201,0.150720531603325,0.0920098068613691,0.0916509985450747,0.0428475313906195,1,0.94571448889192
"transAcc",0.508533973897727,0.420557295768388,0.289215192659119,0.180774319140868,0.101318162135752,0.0854395607043072,0.0805724766040653,0.94571448889192,1
